empresa,associado
157063,157109
157063,157094
157063,157099
157063,157100
157063,157081
157063,157082
157063,157095
157063,157105
157063,157106
157063,157107
157063,157065
157063,157091
157063,157093
157063,157096
157063,157097
157063,157098
157063,157101
157063,157074
157063,157110
157063,157113
157063,157115
157063,157111
157063,157112
157063,157114
157063,157116
COPR,157287
157287,157288
157287,157289
157287,157292
157287,157291
157287,157293
157287,157294
157287,157295
157287,157296
COPR,157380
157380,157385
157385,157386
157386,157387
157387,157388
157388,157389
157388,157390
157387,157391
157391,157392
157391,157393
157387,157394
157394,157396
157394,157395
157394,157397
157387,156418
157386,156419
157386,156420
157385,156421
157380,157381
157380,157382
157380,157383
157380,157384
157380,156422
COPR,156526
156526,156527
156526,156534
156526,156533
156526,156535
156526,156531
156526,156537
156526,156528
156526,156529
156526,156530
156526,156536
156526,156538
156526,156539
156526,156540
COPR,157121
157121,157122
157121,157123
157121,157124
COPR,156553
156553,156562
156553,156555
156553,156557
156553,156559
156553,156561
156553,156554
156553,156556
156553,156560
156553,156563
COPR,157297
157297,157300
157300,157301
157300,157302
157300,157303
157300,157304
157300,157305
157300,157306
157297,157298
157297,157299
157297,157307
157297,157308
COPR,157357
157357,157358
157357,157359
157357,157360
157357,157361
157357,157362
157357,157363
157357,157365
157357,157366
157357,157367
157357,157364
157357,157368
157357,157369
157357,157370
COPR,156770
156770,156772
156772,156773
156773,156774
156773,156775
156773,156776
156773,156777
156773,156778
156773,156779
156773,156780
156773,156781
156772,156782
156782,156783
156782,156784
156782,156786
156772,156787
156772,156788
156772,156789
156772,156790
156772,156791
156772,156792
156772,156793
156772,156794
156772,156795
156772,156796
156772,156797
156772,156798
156772,156799
156772,156800
156772,156801
156772,156802
156772,156803
156803,156804
156803,156805
156803,156806
156772,156807
156772,156808
156770,156771
156770,156810
COPR,156811
156811,156812
156812,156813
156813,156814
156814,156815
156814,156816
156814,156817
156813,156818
156813,156819
156813,156820
156820,156821
156820,156822
156820,156823
156813,156824
156813,156825
156813,156826
156813,156827
156812,156828
156828,156829
156828,156830
156828,156831
156812,156833
156812,156832
156812,156834
156812,156835
156812,156842
156812,156837
156812,156843
156812,156844
156812,156845
156812,156846
156812,156847
156812,156848
156812,156849
156812,156850
156812,156851
156812,156852
156812,156838
156838,156839
156838,156840
156838,156841
156812,156853
156812,156854
156811,156855
156811,156856
COPR,157371
157371,157375
157371,157376
157371,157373
157371,157374
157371,157377
157371,157378
157371,157379
COPR,156541
156541,156545
156541,156546
156546,156547
156546,156548
156546,156550
156546,156551
156541,156544
156541,156543
156541,156552
COPR,157162
157162,157171
157162,157168
157162,157165
157162,157166
157162,157163
157162,157164
157162,157167
157162,157169
157162,157170
157162,157172
COPR,156897
156897,156898
156898,156900
156898,156901
156898,156899
156898,156902
156897,156903
156897,156904
156904,156905
156904,156906
156904,156909
156904,156912
156904,156916
156904,156917
156904,156907
156904,156908
156904,156910
156904,156911
156904,156913
156904,156914
156904,156918
156897,156919
156919,156920
156919,156921
156919,156922
156897,156923
156923,156924
156923,156925
156923,156926
156923,156927
156897,156928
156928,156931
156928,156929
156928,156930
156928,156932
156897,156933
156933,156934
156933,156935
156933,156936
156897,156937
156897,156938
156897,156939
156939,156940
156939,156943
156939,156944
156939,156945
156897,156946
156946,156947
156946,156948
156946,156949
156897,156950
156950,156951
156950,156952
156950,156953
156897,156954
156897,156955
156955,156956
156955,156957
156955,156958
156897,156959
156959,156960
156959,156961
156959,156962
156897,156972
156972,156974
156972,156973
156972,156975
156897,156963
156897,156964
156897,156965
156897,156966
156966,156967
156966,156969
156966,156970
156897,156971
156897,156980
156897,156976
156976,156977
156976,156978
156976,156979
156897,156981
156897,156982
COPR,156600
156600,156602
156600,156603
156600,156604
156600,156605
156600,156606
COPR,156568
156568,156574
156574,156575
156574,156577
156574,156576
156574,156578
156574,156579
156568,156569
156569,156570
156569,156571
156569,156572
156568,156580
COPR,157228
157228,157254
157254,157255
157254,157256
157254,157257
157254,157258
157254,157259
157228,157229
157228,157230
157228,157233
157228,157242
157228,157243
157228,157244
157228,157234
157228,157235
157228,157236
157228,157238
157228,157273
157273,157276
157273,157274
157273,157275
157273,157277
157228,157247
157228,157231
157228,157232
157228,157248
157228,157260
157260,157261
157260,157262
157260,157263
157228,157264
157264,157265
157264,157267
157264,157268
157228,157269
157269,157270
157269,157271
157269,157272
157228,157239
157228,157251
157228,157252
157228,157253
157228,157240
157228,157241
157228,157245
157228,157246
157228,157249
157228,157250
157228,157278
157228,157279
COPR,156564
156564,156565
156564,156567
COPR,156581
156581,156583
156581,156584
156581,156585
156581,156586
156581,156587
156581,156588
COPR,156416
156416,156915
156416,156681
156416,156709
156416,157108
156416,156472
156416,156941
156416,157237
156416,156443
156416,157218
156416,157077
156416,157344
156416,157191
156416,157049
156416,157290
156416,156680
156416,156809
156416,156968
156416,157022
156416,157372
156416,156995
156416,156627
156416,157161
156416,156512
156416,156417
156416,156942
156416,156736
156416,156785
156416,157134
156416,156764
156416,157266
156416,156888
156416,156861
156416,156654
156416,157313
156416,156836
156416,157219
156416,156501
156416,156532
COPR,156608
COPR,156607
COPR,156610
CTPC,188527
CTPC,188529
CTPC,188528
CTPC,188530
22063,80319
80319,80324
80324,80308
80308,80310
80308,80314
80308,80313
80308,80316
80308,80311
80308,80315
80308,80312
80308,80307
80308,80309
80324,80327
80324,80325
80319,80326
80319,80320
22063,80321
22063,80322
22063,80323
22063,80317
22063,80318
NUTR,403941
403941,403942
403941,403945
403941,403943
403941,403944
403941,403946
403941,403947
403941,403948
NUTR,403950
NUTR,403949
NUTR,403951
RSIP,357507
357507,357508
357508,357509
357508,357510
357508,357511
357507,357512
357512,357513
357512,357514
357512,357515
357507,357516
357516,357518
357516,357517
357516,357519
357507,357520
357520,357521
357520,357522
357520,357523
357507,357524
357524,357525
357524,357526
357524,357527
357507,357528
357507,357529
357507,357530
RSIP,357536
RSIP,357535
RSIP,357531
RSIP,357533
RSIP,357532
RSIP,357534
RNAR,387866
387866,387870
387870,387871
387870,387872
387866,387867
387867,387868
387867,387869
387866,387873
RNAR,387874
387874,387875
387874,387876
387874,387877
RNAR,387878
387878,387879
387878,387880
387878,387881
387878,387882
387878,387883
387878,387884
RNAR,387885
RNAR,387887
RNAR,387886
RNAR,387888
SLCE,416265
416265,416266
416265,416268
416265,416269
416265,416270
416265,416271
416265,416267
416265,416272
416265,416273
SLCE,416274
416274,416275
416275,416276
416275,416278
416275,416279
416275,416280
416275,416281
416275,416277
416275,416282
416275,416283
416274,416284
416274,416285
SLCE,416286
SLCE,416287
SLCE,416289
SLCE,416288
SLCE,416290
SMTO,391257
391257,391258
391258,391259
391258,391260
391258,391261
391257,391262
391262,391263
391263,391264
391263,391265
391263,391266
391262,391267
391267,391268
391267,391269
391269,391270
391269,391271
391267,391272
391267,391273
391262,391274
391257,391275
391275,391276
391276,391277
391276,391278
391275,391279
391257,391280
SMTO,391285
SMTO,391281
SMTO,391256
SMTO,391282
SMTO,391283
SMTO,391284
SMTO,391286
SMTO,391288
SMTO,391287
SMTO,391289
UCOP,380932
380932,380944
380944,380945
380945,380946
380946,380947
380946,380948
380946,380949
380945,380950
380950,380951
380950,380952
380950,380953
380945,380954
380945,380955
380944,380960
380960,380962
380960,380961
380960,380963
380944,380956
380956,380957
380956,380958
380956,380959
380944,380964
380932,380933
380933,380934
380934,380935
380934,380936
380934,380937
380933,380938
380938,380939
380938,380940
380938,380941
380933,380942
380933,380943
380932,380965
380932,380966
UCOP,380921
380921,380922
380922,380923
380922,380924
380922,380925
380921,380926
380926,380927
380926,380928
380926,380929
380921,380930
380921,380931
UCOP,380967
UCOP,380968
380968,380969
380968,380970
UCOP,380972
UCOP,380971
UCOP,380973
VAGR,396546
396546,396547
396546,396548
VAGR,396540
VAGR,396550
VAGR,396542
396542,396543
396542,396544
396542,396545
VAGR,396541
VAGR,396549
VAGR,396551
396551,396552
396551,396553
396551,396554
VAGR,396556
VAGR,396555
VAGR,396557
BRFS,404247
BRFS,404248
BRFS,404243
404243,404244
404243,404245
404243,404246
BRFS,404242
BRFS,404250
BRFS,404249
BRFS,404251
BRFS,404253
BRFS,404252
BRFS,404254
ODER,340711
340711,340713
340711,340718
340711,340712
340711,340716
340711,340714
340711,340715
340711,340717
340711,340719
ODER,340722
ODER,340710
ODER,340721
ODER,340723
ODER,340725
ODER,340724
ODER,340709
ODER,340708
ODER,340720
ODER,340727
ODER,340726
ODER,340728
IGUA,414881
414881,414882
