Ranking 2011,Ranking 2010,Empresa,Sede,Setor de atividade,Receita líquida (R$ milhões),Var. (%),Capital (origem),Lucro líquido (R$ milhões),Var (%),Margem líquida (%),Rentab. do PL (%),Lucro da ativ. (R$ milhões),Lucro Financ. (R$ milhões),Lucro não oper. (R$ milhões),Ebitda (R$ milhões),Var. (%),Ativo total (R$ milhões),Patrim. líquido (R$ milhões),Endiv. oneroso (R$ milhões),Nível endiv. geral (%),Nível endiv. oneroso (%),Liq. corrente (em pontos),Crescim. sustent. (em pontos)
492,0,Moinhos Cruzeiro do Sul,RS,Alimentos,668.8,9.4,BR,13.8,186.5,2.1,7.7,45.3,-29.8,0,51.7,207.1,489.1,180.5,132,171,73.2,0.93,1.0102
493,0,Dedini,SP,Mecânica,666.7,-17.1,BR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494,564,Galvani,SP,Química e Petroquímica,666.5,29.6,BR,50.9,269.2,7.6,16.1,93.5,-21.7,0,107.5,89.2,749.1,316.8,311.1,136.5,98.2,0.92,1.117
495,547,HCPA,RS,Serviços Médicos,665.4,23.1,BR,29.2,593.1,4.4,6.7,29.9,-6.8,-0.7,52.8,135.2,657.9,433,0,46.8,0,2.32,1.148
496,500,Newland,CE,Comércio Varejista,662.5,12.7,BR,20.5,9.3,3.1,21.1,30.2,-0.2,0.8,32.8,5.7,127.7,97.5,0.5,31,0.5,3.44,0.9906
497,552,Ticket,SP,Serviços Especializados,661.3,24.7,FR,256.3,33.6,38.8,49.2,344.5,43.3,0,359,31.3,2244.6,521,0,330.8,0,1.29,1.1096
498,478,Log-In,RJ,Transportes e Logística,658.7,6.1,BR,-78.2,-527.1,-11.9,-14.6,-72.4,-47.3,0,-25.4,-133.6,1507.1,533.8,757.6,182.3,141.9,1.8,ND
499,558,Copagril,PR,Agropecuária,658.7,25.4,BR,11.5,-8.4,1.8,6.3,20.9,-11.2,0,28.4,-5.8,553.9,184.4,215.6,200.4,116.9,1.29,1.193
500,532,WHB Fundição,PR,Veículos e Peças,658.1,18.4,BR,42.5,6.9,6.5,38.3,76.6,-22.7,0,111.3,27.7,687.9,111,367.8,519.8,331.4,1.05,0.7205
501,589,Tecban,SP,Tecnologia da Informação,657.9,34.2,BR/EP,-16.2,-291.6,-2.5,-10.7,23,-38.1,0,106.3,14.9,693.9,151.2,432.8,359.1,286.3,0.49,ND
502,528,Esmaltec,CE,Eletroeletrônica,654.4,16.5,BR,41,5.8,6.3,9.6,27.4,14.2,0,ND,0,521.7,425.4,26.3,22.6,6.2,5.4,1.0518
