Ranking 2011,Ranking 2010,Empresa,Sede,Setor de atividade,Receita líquida (R$ milhões),Var. (%),Capital (origem),Lucro líquido (R$ milhões),Var (%),Margem líquida (%),Rentab. do PL (%),Lucro da ativ. (R$ milhões),Lucro Financ. (R$ milhões),Lucro não oper. (R$ milhões),Ebitda (R$ milhões),Var. (%),Ativo total (R$ milhões),Patrim. líquido (R$ milhões),Endiv. oneroso (R$ milhões),Nível endiv. geral (%),Nível endiv. oneroso (%),Liq. corrente (em pontos),Crescim. sustent. (em pontos)
700,708,Grupo Artecola,RS,Química e Petroquímica,429.3,9.7,BR,9.8,-10.7,2.3,13.5,20.6,-16,0,36.6,15.2,312,72.4,158.8,330.6,219.1,1.22,1.0754
701,737,Bic Amazônia,AM,Química e Petroquímica,428.1,15.5,FR,162.3,48.8,37.9,41,150.8,7.9,0,181.1,32.5,490.9,396,1.7,24,0.4,3.83,0.9349
702,695,Renner Sayerlack,SP,Química e Petroquímica,428.1,6.7,BR,16.4,-3,3.8,16.5,27.7,-6,0,36.5,5.2,317.7,99.7,125,218.6,125.4,1.37,1.0044
703,648,Repsol Sinopec Brasil,RJ,Petróleo e Gás,427.5,-0.7,EP,176.7,-11,41.3,1.1,137.5,96.2,0,383.8,214.2,16598.1,15797.6,0.2,5.1,0,20.15,ND
704,630,Jorlan BH,MG,Comércio Varejista,426.7,-5.1,BR,5.5,1019.2,1.3,14.1,8.9,-3.7,0,12.7,66.7,123.6,39.1,6.7,215.7,17,1.12,ND
705,0,Usina Ipiranga 1,SP,Açúcar e Álcool,426.5,-9.1,BR,51.7,6.6,12.1,14.3,90.2,-32.8,0,150.8,26.4,1000.1,361.3,295.8,176.8,81.8,1.86,ND
706,830,Teleperformance,SP,Serviços Especializados,425.6,36.7,BR,11.1,243.2,2.6,18.1,20.9,-9.4,0,46.3,181.6,196.4,61.3,0,220.3,0.1,1.38,1.1194
707,661,Tower Automotive,SP,Veículos e Peças,425.1,1.3,US,-2.1,83,-0.5,-5.3,-7.5,-1.1,0,9.8,48.3,175.2,39.4,44.2,344.2,112,0.61,ND
708,776,FTD,SP,Comunicação e Gráfica,424.6,23.4,BR,44.5,85.2,10.5,15,53.3,8,0,64.6,84.5,393.8,297.2,1.7,32.5,0.6,3.6,1.0386
709,988,Cury Construtora,SP,Construção e Engenharia,424.4,77.1,BR,90,72.8,21.2,47.6,92.5,9.2,0,93,67.4,474.4,189.2,152.8,150.8,80.8,3.28,1.1283
710,712,CRA,PA,Alimentos,422.4,9.6,BR,48.1,336.4,11.4,13.7,48.4,12.2,0,67.7,126.3,381.5,351.4,0,8.6,0,6.42,0.8932
711,740,Kepler Weber,RS,Mecânica,422.1,15.2,BR,28.3,11.2,6.7,5.7,22.2,-9.9,0,52.4,-1.7,851.3,496.9,210.6,71.3,42.4,2.44,0.6205
712,0,Agro Amazônia,MT,Comércio Varejista,421.6,0,BR,0.1,0,0,1.2,3.9,2,0,5,0,284.6,12.2,73.2,2289.1,600.9,1.01,0
713,634,CBC Cartucho,SP,Química e Petroquímica,421.1,-5.5,BR,6.8,-85.2,1.6,5.9,18.7,-43,0,39.7,-42.6,536.6,115.8,230.7,363.4,199.2,0.9,ND
714,0,Paranasa Engenharia,MG,Construção e Engenharia,421,305.5,BR,9.8,178.5,2.3,8.9,36.3,-23.7,0,40.6,16400,293.2,110.1,96.8,166.3,88,1.61,3.694
715,665,Gas Natural SPS,SP,Petróleo e Gás,420.6,0.9,EP,45.4,-50.3,10.8,6.2,50.4,5.4,0,87.2,-33.4,813.5,726.3,19,12,2.6,2.31,0.9556
716,789,Niplan,SP,Construção e Engenharia,419.5,24.8,BR,13.8,179.1,3.3,14,26.6,-9.1,-1.5,32.9,129.2,197,98.4,61.3,100.3,62.3,3.98,0.8705
717,846,Aesc,RS,Serviços Médicos,419,37.7,BR,6.7,21.4,1.6,4.1,3.3,-5.6,0,26.1,14.3,325.6,164.8,66.6,97.5,40.4,1.41,1.3058
718,826,Capebe,MG,Alimentos,417.6,32.1,BR,6,1053.4,1.4,13.2,-1.9,-1.1,0,9.3,128.1,165.1,45.5,69,262.8,151.6,1.31,1.1162
719,677,Petri do Brasil,SP,Veículos e Peças,415.5,1.5,JP,29.3,-28.5,7,12.9,39.2,1.3,-0.2,45.6,-23.7,347.4,227.2,38.1,52.9,16.8,3.49,0.9629
720,827,Unifertil,RS,Química e Petroquímica,413.3,31,BR,25.9,13.7,6.3,31.3,28.7,5.7,0,30.4,86.6,157.6,82.7,32.6,90.5,39.4,1.94,ND
721,747,Brookfield Energia Renovável,PR,Energia Elétrica,413.2,14.9,CN,58.8,-30.2,14.2,2.1,123.9,-46.3,0,309.3,-4.1,3904.4,2836.4,773.4,37.7,27.3,1.49,1.0499
722,812,Sococo,AL,Alimentos,412.7,27.4,BR,73.4,90.2,17.8,29,71,2,0,93.8,76,372.6,253.3,16.4,47.1,6.5,3.14,1.0276
723,787,CIV,PE,Mat. de Constr. e Decoração,411.8,22.2,BR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
724,781,Furukawa,PR,Eletroeletrônica,411.6,21,JP,56.1,-10,13.6,27.9,59.4,2.5,0,71.6,-5.6,284.8,201,23.2,41.7,11.5,3.02,1.0281
725,**,Intelbras,SC,Eletroeletrônica,411.5,26.4,BR,18.4,-27.1,4.5,12.2,72.2,-18.1,-31.9,78.6,17.7,396.4,150.4,147.1,163.6,97.9,1.53,1.1648
726,778,Distribuidora Rio Branco,MG,Petróleo e Gás,411.4,20,BR,1.3,26,0.3,6.1,1.5,0.4,0,3,-23.7,57.6,21.3,8.3,170.7,38.8,0.78,ND
727,515,Diebold Procomp da AM,SP,Tecnologia da Informação,410.6,-28.4,US,151.4,15.9,36.9,26.4,56.4,38.4,0,60.5,-45.3,680.9,572.6,4.2,18.9,0.7,5.67,ND
728,710,B. Braun,RJ,Farmacêutica e Cosméticos,409.1,5.8,AL,19.2,-32.4,4.7,7.1,31.1,-2.5,0,56.4,-22.8,387.8,271.5,28.4,42.8,10.5,2.15,0.9837
729,837,Coopercarga,SC,Transportes e Logística,408.4,32.6,BR,6,244.9,1.5,18.1,5.2,-2,0,9.1,111,98.2,33.3,24.3,194.8,72.9,1.28,1.1081
730,760,Rodovias das Colinas,SP,Transportes e Logística,408.2,15.4,BR,78.5,-10.9,19.2,31.8,113,-22.7,0,148.1,-23.1,973.9,246.6,457.2,294.9,185.4,0.08,ND
731,791,Cotriel,RS,Agropecuária,407.9,21.7,BR,11.7,19.6,2.9,17.6,11.9,-1.3,0,16.5,83.9,222.8,66.3,52.1,236.1,78.7,1.37,1.0343
732,553,Aterpa,MG,Construção e Engenharia,407.9,-21.8,BR,-3.5,-105.2,-0.9,-1.5,-0.8,2.3,0,23.1,-80.5,387.5,237,56.8,63.5,24,2.76,ND
733,790,Brasil Brokers,RJ,Serviços Especializados,407.7,21.5,BR,117.9,53.9,28.9,15.6,139.9,26.8,0,151.7,24.7,923.8,756.8,0,22.1,0,2.31,0.725
734,727,Integral Engenharia,MG,Construção e Engenharia,407.2,8.1,BR,19.3,41.6,4.7,15.2,27.3,-7.8,0.8,ND,0,170.6,127.4,15.2,33.9,12,2.48,0.8395
735,674,Disbrave,DF,Comércio Varejista,406.5,-1.1,BR,2.4,-85.9,0.6,1.9,-26.8,-6.4,0.2,0.1,-97.4,300.1,125.3,124.6,139.4,99.4,1.04,ND
736,810,Construtora Triunfo,PR,Construção e Engenharia,405.4,24.9,BR,181.7,406.9,44.8,36.6,179.5,-26.3,0,221.5,197.8,792.9,496,81.4,59.9,16.4,1.93,0.7913
737,651,Usina Bazan,SP,Açúcar e Álcool,405.1,-5.2,BR,66.6,54.2,16.4,24.3,104.5,-3.4,0,121.4,38.4,434.7,274.1,37.8,58.6,13.8,2.31,ND
738,504,Grupo EMSA,GO,Construção e Engenharia,404.9,-22.7,BR,22.8,74,5.6,7.4,57.3,-33.2,0,78,-0.1,779,309.4,124,151.8,40.1,1.06,ND
739,0,Fluminense Coca-Cola,RJ,Bebidas e Fumo,404.1,15.7,BR,26.8,-18,6.6,20.6,35.7,1.8,0,48,-12.8,276.2,129.9,33,112.6,25.4,1.21,1.1137
740,0,Fiação e Tecidos Sto. Antônio,MG,"Têxtil, Couro e Vestuário",402.7,34.8,BR,21.6,958.7,5.4,14.6,36,-10.9,0,40.1,206.4,313.2,147.6,126.4,112.2,85.6,1.18,1.1926
741,970,Holambra,SP,Agropecuária,402.6,61,BR,13.8,222.6,3.4,13.2,10.6,6.7,-3,15.1,154.6,260.3,104,106.4,150.2,102.3,1.41,1.4428
742,792,Eurovia Veículos,PE,Comércio Varejista,401.5,20.1,BR,9,21.7,2.2,27.8,6.9,-2.6,0,18.1,12.6,106.5,32.3,51,229.6,157.9,1.03,0.9169
743,723,Enercan,SC,Energia Elétrica,400.7,5.5,BR,128.9,-6.1,32.2,15.7,254.2,-60.9,0,291.9,-2.1,1528.4,821.8,630.9,86,76.8,0.81,0.9769
744,649,Ramos Transportes,MG,Transportes e Logística,399.4,-7,BR,-26.1,-376,-6.5,ND,-16.2,-9.9,0,-10.2,-149.9,89.4,-6.9,48.4,ND,ND,0.82,ND
745,734,Multiaços,SP,Metalurgia e Siderurgia,399.1,7,BR,0.4,-99,0.1,0.4,-5,-16.3,0,22.6,-64.2,272.8,105.8,131.6,157.9,124.4,1.63,ND
746,775,Cobra Tecnologia,RJ,Tecnologia da Informação,398.8,15.7,BR,3.1,109.3,0.8,2.5,2.7,6.5,0,7.4,168.3,293,124.6,66.4,135.1,53.3,1.08,0.8019
747,0,Grupo Gocil,SP,Serviços Especializados,398,1.3,BR,10.5,-21.3,2.6,8.1,17.7,1,-2.7,ND,0,257.1,128.7,0,99.7,0,1.09,0.8198
748,729,Vulcan Material Plástico,RJ,Química e Petroquímica,397.8,5.8,BR,-27.8,44,-7,-119.4,-0.4,-52.5,0,45.2,165.3,415.3,23.3,99,1684.2,425.2,0.86,0.7128
749,717,CSU Cardsystem,SP,Serviços Especializados,397.6,3.7,BR,22.6,-31.5,5.7,15,39.2,-6.9,0,63.1,-18.5,330.9,151.1,68.6,119.1,45.4,1.07,ND
750,666,CR Almeida Engenharia,PR,Construção e Engenharia,397.2,-4.7,BR,17.2,-59.4,4.3,3.8,22.3,4.1,0,32.4,-27.2,536.3,448.6,17.7,19.5,4,6.58,ND
751,0,Ouro Fino,SP,Farmacêutica e Cosméticos,396.8,73.2,BR,20.9,-5.3,5.3,9.1,52,-13.6,-15.7,66.3,36,670.3,230.3,372,191.1,161.5,2.57,1.5938
752,777,Hospital São Rafael,BA,Serviços Médicos,396.2,15.3,BR,3.8,1512,0.9,18.4,9.2,-7.3,0,19.6,40.9,215.9,20.4,37.6,956.5,184.1,1.22,0.9441
753,726,Hosp. Alemão Oswaldo Cruz,SP,Serviços Médicos,394.9,4.7,BR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
754,742,União Química,SP,Farmacêutica e Cosméticos,394.3,7.9,BR,28.3,44.9,7.2,11.3,57,-23.9,0,71.3,42.3,510.3,250,182.9,104.1,73.2,3.76,0.9209
755,769,Usina Nardini,SP,Açúcar e Álcool,393.9,13.3,BR,29.9,-44.6,7.6,10.9,36.5,-38.1,0,130.4,-14,710.8,273.5,335.9,159.9,122.8,1.16,1.0152
756,0,Cimento Tupi,RJ,Mat. de Constr. e Decoração,392.5,-2.3,BR,68.5,-6,17.5,22,79,-27.4,0,106.4,82.7,637.4,311.8,237.9,104.4,76.3,2.81,ND
757,836,Locamérica Frotas,SP,Serviços Especializados,390.7,26.4,BR,22.6,95.4,5.8,14.2,112.2,-83.2,0,155.6,42.9,929.7,158.9,614.6,485,386.7,0.86,1.0917
758,759,Cia. Agrícola Colombo,SP,Agropecuária,390.1,10.3,BR,-10.4,-153.3,-2.7,-2.4,-55.3,-97.2,0,-23.8,-128.9,1419.2,435.9,239.4,225.6,54.9,0.4,ND
759,719,Scalina,SP,"Têxtil, Couro e Vestuário",389.4,2,BR,-15.6,-135.2,-4,-5.3,-0.9,-11.7,0,8.1,-87.8,487.1,293.8,104,65.8,35.4,4.12,0.716
760,0,Gafor,SP,Transportes e Logística,388.5,2.7,BR,-12.1,-647.1,-3.1,-36.5,-19.4,-31.8,0,8.1,-84.1,472.4,33,305.2,1332.5,925.5,1.23,0.3779
761,613,Guerra,RS,Veículos e Peças,388.1,-17,BR,-8.9,-151.2,-2.3,-10.3,-6.5,-6.9,0,2.1,-95.3,294.3,86.5,123.6,240.3,142.9,0.85,ND
762,772,Marelli Autopeças,SP,Veículos e Peças,387.7,12,IT,28.1,54.1,7.3,88.3,47.4,-4.8,0,50.3,45.1,155.1,31.9,0.1,386.6,0.2,1,0.6561
763,983,Rio Doce Café,ES,Comércio Atacadista e Exterior,387,60.1,BR,13.2,41.8,3.4,13.2,18.9,-11.8,0,32,83.1,254.3,100.1,136.3,154,136.2,1.12,1.3822
764,**,Ouro Verde,PR,Transportes e Logística,386.2,27.6,BR,86.8,759,22.5,40.6,113.4,-92.9,1,345.8,89.2,1412.7,213.6,1008.2,561.2,471.9,0.73,1.0173
765,756,Leo Madeiras,SP,Comércio Varejista,385,8.2,BR,12.3,-43.9,3.2,11.9,0.7,1.6,0,3.6,-83.8,176.7,103.6,0,70.6,0,2.32,ND
766,0,First,SP,Comércio Atacadista e Exterior,384.5,287,BR,7.9,305.9,2,47.6,1.2,10.5,0,2.9,111.1,199.9,16.5,90.9,1112,551.1,0.89,2.6231
767,720,Marilan,SP,Alimentos,384.5,1,BR,-17.1,-34.1,-4.5,-23,-19,-8.2,0,0,-101.7,231.1,74.5,58.8,210.4,78.9,0.93,ND
768,739,Santa Casa da Bahia,BA,Serviços Médicos,384.2,4.8,BR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
769,0,Liebherr Brasil,SP,Mecânica,383.6,18.2,BR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,768,Faber Castell 1,SP,Química e Petroquímica,383.4,6.8,BR/AL/SU,37.8,31.5,9.9,17.4,30.2,-2.6,0,61.7,9.7,400.1,216.8,93.8,84.6,43.3,2.85,1.0118
771,857,Locar,SP,Serviços Especializados,383.4,29.6,BR,26.6,-47.4,6.9,7.5,82.1,-45.1,0,135.3,16.7,934.9,356.1,445.4,162.5,125.1,0.9,1.2232
772,766,Politec,DF,Tecnologia da Informação,382.7,-3.8,BR,-133.1,-466.8,-34.8,-439.1,-148.2,-20.8,0,-140.7,-560.3,268.6,30.3,64.6,786.2,213,1.08,ND
773,722,Moinhos Anaconda,SP,Alimentos,382.6,0.6,BR,57.8,-5.2,15.1,27.2,76,2.7,0,86.3,-6.1,240.2,212.5,0,13,0,6.46,0.9668
774,891,Millennium Inorganic Chemic.,BA,Química e Petroquímica,381.4,34.7,US,32.8,221.9,8.6,8.7,45.6,-4.5,0,87.3,366.1,499.8,375.6,13.2,33.1,3.5,2.38,1.2542
775,0,Parati,SC,Alimentos,380.6,14.9,BR,21,52.5,5.5,11.3,19,0.7,0,28.5,8.4,336.7,185.9,51,81.1,27.4,1.7,1.1206
776,692,Cocapec,SP,Agropecuária,379.9,-5.7,BR,19.5,202.6,5.1,19.3,14.8,-2.4,0,24.9,98.1,280.8,101,105.7,178.1,104.7,1.59,ND
777,746,Cimentos Liz,MG,Mat. de Constr. e Decoração,379.6,4.6,BR,-32.2,-212.6,-8.5,-5.1,-25.7,-32.1,0,ND,0,1294,634.4,121.9,104,19.2,1.83,ND
778,911,Teuto,GO,Farmacêutica e Cosméticos,379.4,38.3,BR,52.4,235.2,13.8,22.9,69.6,-29,0,94.7,120.1,489.9,228.8,148.3,114.1,64.8,1.8,1.0515
779,0,Montcalm,SP,Construção e Engenharia,379.2,82,BR,17.2,86.7,4.5,21.2,17,4.5,0,24.2,60.1,188.4,81.3,0.1,131.8,0.1,1.47,1.5991
780,0,EATE,SP,Energia Elétrica,378.7,-10.4,BR,204.3,3.6,53.9,23.3,302.7,-58.9,0,303.4,4.3,1645.4,875.3,561.7,88,64.2,2.48,ND
781,817,Icesp,SP,Serviços Médicos,378.1,18,BR,15,-31.1,4,40.2,11,4,0,34,10.6,158.1,37.3,0,323.5,0,0.38,0.7058
782,798,Dakota Nordeste,CE,"Têxtil, Couro e Vestuário",377,14.5,BR,144.4,215.5,38.3,34.2,16.4,24.2,0,137,233.5,500.7,421.8,43.2,18.7,10.3,16.09,0.7549
783,0,Jequiti Hydrogen,SP,Farmacêutica e Cosméticos,375.1,13.5,BR,-67,-299.6,-17.9,ND,-46.7,-53.6,0,-42.2,-861.4,291.8,-74,268.2,ND,ND,0.59,ND
784,0,Sandvik M. and Construction,SP,Mecânica,374.4,50.7,BR,-42.2,-150.5,-11.3,-59,-14.5,-30.5,0,-0.2,-102.4,321.8,71.6,153,349.8,213.8,2.49,1.0267
785,676,Sulzer,SP,Mecânica,373.6,-8.9,SU,55.2,-14.3,14.8,32.5,73.4,9,0,77.8,-6.5,375.8,170.1,34.5,121,20.3,1.62,ND
786,849,Camda,SP,Agropecuária,373.5,23.5,BR,19.4,77.3,5.2,13.8,6.6,6.9,0,14.5,1378.4,391.7,140.4,217,179.1,154.6,1.66,1.0745
787,764,Zaraplast,SP,Química e Petroquímica,373.5,6.6,BR,4.5,26.1,1.2,7.1,10.1,-3.7,-0.5,16.5,94.4,175.9,63.8,72.1,175.9,113,1.16,0.99
788,794,Nadir Figueiredo,SP,Mat. de Constr. e Decoração,372.9,12.4,BR,24.4,32.3,6.5,8.1,26.3,-0.5,0,44.2,-5.3,666.5,301,174.4,121.4,57.9,1.98,1.0582
789,0,Agroindustrial Santa Juliana,MG,Açúcar e Álcool,372.7,103.9,BR,-82,-289.9,-22,-20.8,12,-135.4,0,68.7,525.1,1192.1,393.3,26.6,203.1,6.8,2.19,ND
790,745,Sansuy,BA,Química e Petroquímica,372.1,1.9,BR,-57.6,-99,-15.5,ND,-4.1,-55.8,0,16.5,-46.6,343.6,-229.7,29.5,ND,ND,2.2,ND
791,893,Sem Parar / Via Fácil,SP,Serviços Especializados,371.3,32.1,BR,113.9,43,30.7,84.3,145.8,23.7,0,183.2,37.3,763.6,135.1,0,465.1,0,1.03,1.183
792,765,PUC SP,SP,Serviços Especializados,371.1,6.1,BR,-10.3,-196.7,-2.8,ND,9.9,-20.2,0,17.5,-51.1,309.6,-40.6,98.9,ND,ND,0.43,ND
793,779,Rolls-Royce Brasil,SP,Serviços Especializados,370.8,8.2,GB,-25.3,-265.3,-6.8,-30,-62.2,39.2,0,-56.8,-618.5,201.3,84.2,0,138.9,0,1.38,ND
794,908,Copasul,MS,Agropecuária,368.5,33.1,BR,6.2,-57.2,1.7,4.7,0.5,-5.8,0,16.9,-30.9,290.8,130.4,113.9,123.1,87.4,1.72,1.2714
795,724,Panatlântica,RS,Metalurgia e Siderurgia,365.6,-3.2,BR,13.3,-33.3,3.6,6.5,7,8.1,0,10.4,-53.6,294.8,204,51.7,44.5,25.4,2.48,ND
796,678,Jorlan,DF,Comércio Varejista,364.2,-11,BR,2.6,254.3,0.7,4.8,4.6,-9.3,0,7.6,18.9,200.1,53.9,29.1,271.6,54.1,0.94,ND
797,744,Mundial,SP,Metalurgia e Siderurgia,363.7,-0.5,BR,-40.1,-411,-11,-101.1,14.8,-52.9,0,28.4,-2.4,887.5,39.7,198.9,2136.9,501.2,0.61,ND
798,809,Europ Assistance Brasil,SP,Serviços Especializados,363.1,11.8,IT,14.9,34.8,4.1,49.4,23.7,-0.9,0,25.7,36.7,91.8,30.2,0.2,204.3,0.6,1.24,0.8385
799,762,Grupo Sponchiado Veículos,RS,Comércio Varejista,362.6,3.1,BR,10.1,-20.2,2.8,15.4,2.4,4.7,0.4,8.7,8,132.6,65.2,0.4,103.3,0.6,1.72,0.9158
800,851,Expresso Nepomuceno,MG,Transportes e Logística,361.3,19.8,BR,6.6,-68.8,1.8,14.1,10.5,-10.1,7.7,49.2,65.2,220,46.5,131.1,373.5,282.3,0.85,1.1819
801,647,CAF Brasil,SP,Veículos e Peças,360.3,-16.4,EP,40,121.8,11.1,19.2,63.4,-1.8,0,71.9,142.8,359.1,208.1,1.9,72.5,0.9,1.37,ND
802,936,Moinho Cearense,CE,Alimentos,359.1,34.1,BR,72.9,32.8,20.3,29.9,75.8,5.7,0,81.7,20.4,306,243.8,15,25.5,6.1,4.56,0.8686
803,0,Gevisa,SP,Mecânica,358.9,40.7,US,-3.3,-225.4,-0.9,-2,7.5,-11,0,15.1,113.1,426,162.9,0,161.6,0,0.95,ND
804,816,Auto Elite,SC,Comércio Varejista,358.2,9,BR,9.7,-3.6,2.7,16.7,14.9,1.2,-1.3,16,-4.9,87.4,57.7,12.9,51.4,22.3,2.9,0.8511
805,0,Grupo Farias 1 3,PE,Açúcar e Álcool,356.6,0,BR,-71.4,0,-20,0,-34.4,-76.6,0,8.9,0,2133.1,362.8,550.5,488,151.7,0.53,0
806,958,Tecondi,SP,Transportes e Logística,355.3,39.4,BR,55.1,72.6,15.5,50.7,97.2,-17,0,123.4,107.6,299.4,108.7,105.9,175.4,97.4,0.62,0.9174
807,757,KSB,SP,Mecânica,355.2,-0.1,AL,24,-32.6,6.8,15.5,25.2,6,0,32.3,-36.7,307.4,154.9,0.5,98.4,0.3,1.75,ND
808,575,Anglo American,SP,Mineração,355.1,-69.6,GB,-117,-153.4,-33,-9.9,-35.8,15.3,0,95,-65.9,5052,1177.9,1288.6,328.9,109.4,1.39,ND
809,750,Karsten,SC,"Têxtil, Couro e Vestuário",354.6,-0.9,BR,-69.4,-504.6,-19.6,-178.9,-37.6,-29.8,0,-31.8,-182.6,365.6,38.8,231.8,841.7,597.2,0.8,ND
810,954,Kowalski,GO,Alimentos,354.5,38.2,BR,31.2,88,8.8,34.5,36.1,2.2,0.1,50.2,91.7,224.6,90.5,58.8,148.2,65,2.16,1.1272
811,828,Usina Bela Vista,SP,Açúcar e Álcool,354.3,12.8,BR,62.1,60.4,17.5,24.9,100.1,-6,0,142.9,58.4,339.5,249.7,33,36,13.2,4.59,0.7159
812,595,Tristão,ES,Comércio Atacadista e Exterior,354.2,-27.5,BR,8.8,-78,2.5,5.7,25.8,-19.6,0,34.7,-39.8,417,154.8,255.6,169.5,165.2,0.95,ND
813,858,Bartofil,MG,Comércio Atacadista e Exterior,353.2,19.9,BR,31.2,52,8.8,22.6,37.2,7,0,39.2,79.3,190.5,137.7,3.9,38.3,2.8,3.43,0.9449
814,882,Essencis,SP,Serviços Especializados,350.3,21.9,BR,63,40.9,18,34.5,94.2,-7.5,0,125.8,37.6,474.6,182.7,186.8,159.8,102.2,3.1,ND
815,842,Lojas Koerich,SC,Comércio Varejista,350,14.2,BR,12,-21.4,3.4,12.3,9.8,2.6,0,14.6,-16,172.3,97.3,0.3,77.1,0.4,2.32,1.1233
816,782,Rodobens Caminhões,SP,Comércio Varejista,349.8,3,BR,8.2,152.3,2.3,7.1,-10.2,1.2,-0.4,11.4,77.2,257.2,115.3,83.2,123.1,72.2,1.43,0.9701
817,700,Isban Brasil,SP,Tecnologia da Informação,347.4,-12.6,BR,31.7,94.2,9.1,58.2,8.2,12.3,0,8.8,-33.6,167.2,54.5,0,206.8,0,0.99,ND
818,0,Portonave,SC,Transportes e Logística,346.8,45.5,BR,2.4,-91.3,0.7,0.3,47.4,-54.2,0,138.6,13.2,1691.7,934.3,171.1,81.1,18.3,0.48,ND
819,686,Tietê Veículos,SP,Comércio Atacadista e Exterior,346.7,-14.4,BR,11.6,24,3.4,18.4,-18.5,35.4,0.5,-17.6,-5.9,198.6,63.4,18.3,213.4,28.9,1.66,ND
820,0,Librelato Implementos,SC,Veículos e Peças,345.8,37.9,BR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
821,0,Inbrands,SP,Comércio Varejista,345.7,114,BR,-19.5,-193.3,-5.6,-6,-20.7,14.9,0,-1.7,-109.2,817.4,326.7,194.2,150.2,59.4,0.95,1.8176
822,0,Grupo Ferroeste,MG,Metalurgia e Siderurgia,345.5,38.5,BR,2.2,-94.1,0.6,0.4,10.7,-36.8,0,71.6,-8.1,1258.4,609.5,384.5,106.5,63.1,0.7,1.3773
823,901,Rações Guabi,SP,Alimentos,345.1,23.8,BR,5,243.4,1.5,15.3,11.7,-5.2,0,15.8,95.1,126.5,33,44.7,283,135.3,1.1,0.9739
824,704,Soufer,SP,Metalurgia e Siderurgia,344.6,-12.9,BR,-5.5,-139.2,-1.6,-8.6,3.2,-7.8,0,11.5,-57.8,212.9,64.4,70.7,230.9,109.9,1.37,ND
825,0,São Carlos Participações,SP,Serviços Especializados,344.2,48.8,BR,96.4,4.8,28,13.1,176.2,-57.1,0,202,8.6,1740.1,735.7,912.1,136.5,124,1.87,1.3522
826,0,Método Engenharia,SP,Construção e Engenharia,343.9,2.9,BR,18,66.1,5.2,15.2,37.5,-10.8,0,39.9,107,246.7,117.9,36,109.2,30.5,1.37,0.9504
827,0,BR Properties,SP,Serviços Especializados,343.5,68,BR,335.4,-58.8,97.7,9.1,290.5,-223.8,0,290.7,70.9,6439.4,3692.7,2102.2,74.4,56.9,4.87,1.2325
828,886,FCC,RJ,Química e Petroquímica,343.3,19.7,BR/US,61.4,42.1,17.9,24.8,80.7,10,0,94.6,20.5,310.8,247.3,3.4,25.7,1.4,3.54,0.921
829,949,AEC Centro de Contatos,MG,Tecnologia da Informação,342.6,33.3,BR,16.5,32.1,4.8,73.1,32.5,-3.9,0,41.6,44.6,107.8,22.6,19.9,377.5,88.3,0.64,1.2966
830,871,Petrovia,PE,Transportes e Logística,342.1,17.9,BR,4.9,49.2,1.4,19.9,6.2,-0.6,0,7.9,40.6,60.1,24.6,7.3,144.5,29.7,1.49,0.9489
831,912,Norsul,MA,Transportes e Logística,342.1,25,BR,11.3,8.7,3.3,2.9,-19.8,32.8,0,20.1,1.4,863.9,386.9,240.3,123.3,62.1,2.63,1.1835
832,918,Painco,SP,Mecânica,341.7,25.8,BR,23.7,20.9,6.9,27.5,25.1,0.2,0.3,40.1,30.5,176.9,86.1,12.6,105.4,14.7,1.1,1.1198
833,0,Allpark,SP,Serviços Especializados,340.3,55.1,BR,-4.6,-72.3,-1.4,-11.9,20.1,-17.7,0,ND,0,340.2,39,150.6,771.7,386,0.32,0.3894
834,847,Yakult,SP,Alimentos,339.6,12.2,JP,53.5,24.2,15.8,17.2,48.3,20.4,0,72.5,14.5,377.5,311.7,0,21.1,0,6.57,1.0131
835,813,Dori,SP,Alimentos,339.6,5.4,BR,-2.3,-119.4,-0.7,-2.5,12.7,-18.8,0,23,-34.8,317.9,93.2,101.2,240.9,108.5,1.24,ND
836,869,Wheaton,SP,Mat. de Constr. e Decoração,338.6,16.5,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
837,921,Coopatrigo,RS,Agropecuária,337.6,25.1,BR,7.8,-12.9,2.3,15.2,7.3,-1.2,0,11.7,-4.4,174.8,51.2,25.3,241.3,49.4,1.59,1.0375
838,824,Nortox,PR,Química e Petroquímica,336.7,6.5,BR,10.2,1797.3,3,2.4,12,-0.6,0,23.6,15.3,519.2,424.4,59.6,22.4,14.1,5.24,1.0413
839,821,Cetesb,SP,Serviços Especializados,336.4,5.8,BR,28.2,-42.3,8.4,6.5,8.4,19.8,0,16.3,-52.2,565.9,433,0,30.7,0,0.81,0.9818
840,0,Smart Participações,RS,Comércio Varejista,335.5,-1.8,BR,-2.6,-183.2,-0.8,-11,-9.2,-2.3,0,-0.4,-121,80.3,23.5,21.1,241.6,90,1.11,ND
841,850,Caern,RN,Água e Saneamento,334.4,9.8,BR,-0.5,97.9,-0.1,-0.1,15.4,-15.8,0,42.1,60,758.4,528.1,8.3,43.6,1.6,1.49,1.0502
