Nome,Classe,CNPJ,Pais Sede,Ativo /|Cancelado,ID da|empresa,Setor NAICS|ult disponiv,Setor|Economática,Tipo de Ativo,Bolsa,Código,ISIN,Meses|Dez 2011|no exercício|consolid:sim*,Ativo Tot|Dez 2011|em moeda orig|consolid:sim*,Patrim Liq|Dez 2011|em moeda orig|consolid:sim*,Receita|Dez 2011|em moeda orig|no exercício|consolid:sim*,Lucro Bruto|Dez 2011|em moeda orig|no exercício|consolid:sim*,Lucro Liq|Dez 2011|em moeda orig|no exercício|consolid:sim*,Moeda dos|Balanços,Qtd Ações|Outstanding|da classe|31Dez11,LPA|Dez 2011|em moeda orig|de 12 meses|consolid:sim*|ajust p/ prov,VPA|Dez 2011|em moeda orig|consolid:sim*|ajust p/ prov,Vendas/Acao|Dez 2011|em moeda orig|de 12 meses|consolid:sim*|ajust p/ prov,Divid por Ação|31Dez11|1 anos|em moeda orig,Div Yld (fim)|31Dez11|no Ano|em moeda orig,Div Yld (inic)|31Dez11|1 anos|em moeda orig,PrinAcion|31/12/2011|1.Maior|Sem Voto,AcPossuid|31/12/2011|1.Maior|Sem Voto,PrinAcion|31/12/2011|2.Maior|Sem Voto,AcPossuid|31/12/2011|2.Maior|Sem Voto,PrinAcion|31/12/2011|3.Maior|Sem Voto,AcPossuid|31/12/2011|3.Maior|Sem Voto,PrinAcion|31/12/2011|4.Maior|Sem Voto,AcPossuid|31/12/2011|4.Maior|Sem Voto,PrinAcion|31/12/2011|5.Maior|Sem Voto,AcPossuid|31/12/2011|5.Maior|Sem Voto,PrinAcion|31/12/2011|6.Maior|Sem Voto,AcPossuid|31/12/2011|6.Maior|Sem Voto,PrinAcion|31/12/2011|7.Maior|Sem Voto,AcPossuid|31/12/2011|7.Maior|Sem Voto,PrinAcion|31/12/2011|8.Maior|Sem Voto,AcPossuid|31/12/2011|8.Maior|Sem Voto,PrinAcion|31/12/2011|9.Maior|Sem Voto,AcPossuid|31/12/2011|9.Maior|Sem Voto,PrinAcion|31/12/2011|10.Maior|Sem Voto,AcPossuid|31/12/2011|10.Maior|Sem Voto,PrinAcion|31/12/2011|1.Maior|Com Voto,AcPossuid|31/12/2011|1.Maior|Com Voto,PrinAcion|31/12/2011|2.Maior|Com Voto,AcPossuid|31/12/2011|2.Maior|Com Voto,PrinAcion|31/12/2011|3.Maior|Com Voto,AcPossuid|31/12/2011|3.Maior|Com Voto,PrinAcion|31/12/2011|4.Maior|Com Voto,AcPossuid|31/12/2011|4.Maior|Com Voto,PrinAcion|31/12/2011|5.Maior|Com Voto,AcPossuid|31/12/2011|5.Maior|Com Voto,PrinAcion|31/12/2011|6.Maior|Com Voto,AcPossuid|31/12/2011|6.Maior|Com Voto,PrinAcion|31/12/2011|7.Maior|Com Voto,AcPossuid|31/12/2011|7.Maior|Com Voto,PrinAcion|31/12/2011|8.Maior|Com Voto,AcPossuid|31/12/2011|8.Maior|Com Voto,PrinAcion|31/12/2011|9.Maior|Com Voto,AcPossuid|31/12/2011|9.Maior|Com Voto,PrinAcion|31/12/2011|10.Maior|Com Voto,AcPossuid|31/12/2011|10.Maior|Com Voto
Wal Mart Stores,Com,-,US,ativo,104169,Outras lojas de mercadorias variadas,Comércio,"ADR,etc (emp estrang)",Bovespa,WALM11B,BRWALMBDR005,-,-,-,-,-,-,Dollar US,-,-,-,-,0.39234,1.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Walt Disney,Com,-,US,ativo,1001039,Outras indústrias da recreação,Outros,"ADR,etc (emp estrang)",Bovespa,DISB11B,BRDISBBDR006,-,-,-,-,-,-,Dollar US,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Weg,ON,84429695000111,BR,ativo,541,"Indústria de motores, turbinas e transmissores de energia",Máquinas Indust,Ação,Bovespa,WEGE3,BRWEGEACNOR0,12,9105861000,3800112000,5189409000,1556051000,586936000,Real,619905029,0.9460633819,6.130151914,8.3646425311,0.569411758,3.0,2.6,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,Weg Participacoes e Servicos S.A.,316328027,Clica Voigt Administradora Ltda,9963420,Voigt Schwartz Administradora Ltda,9963420,Si Voigt Administradora Ltda,9963419,Zocalo Participacoes Ltda,5993900,Balder Participacoes Ltda,5955276,Helana Participacoes Ltda,5934469,Dabliuve Administradora Ltda,5862929,Starp Participacoes Ltda,5747784,Eggon Joao da Silva Administradora Ltda.,4798200
Weg,PN,84429695000111,BR,cancelado,541,"Indústria de motores, turbinas e transmissores de energia",Máquinas Indust,Ação,Bovespa,WEGE4,-,12,9105861000,3800112000,5189409000,1556051000,586936000,Real,0,0.9460633819,6.130151914,8.3646425311,0,-,-,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,Weg Participacoes e Servicos S.A.,316328027,Clica Voigt Administradora Ltda,9963420,Voigt Schwartz Administradora Ltda,9963420,Si Voigt Administradora Ltda,9963419,Zocalo Participacoes Ltda,5993900,Balder Participacoes Ltda,5955276,Helana Participacoes Ltda,5934469,Dabliuve Administradora Ltda,5862929,Starp Participacoes Ltda,5747784,Eggon Joao da Silva Administradora Ltda.,4798200
Wells Fargo,Com,-,US,ativo,72971,Bancos,Finanças e Seguros,"ADR,etc (emp estrang)",Bovespa,WFCO11B,BRWFCOBDR009,-,-,-,-,-,-,Dollar US,-,-,-,-,13.876982249,26.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wembley,ON,25329319000196,BR,ativo,1180,Indústria de roupas de tecido,Textil,Ação,Bovespa,WMBY3,BRWMBYACNOR2,12,3549257000,372580000,1742403000,431639000,-46498000,Real,24000000,-1.9374166667,15.524166666,72.600125,0.0321,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Jose Alencar G Silva-Com Part Emp,23009122,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wembley,PN,25329319000196,BR,cancelado,1180,Indústria de roupas de tecido,Textil,Ação,Bovespa,WMBY4,-,12,3549257000,372580000,1742403000,431639000,-46498000,Real,0,-1.9374166667,15.524166666,72.600125,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Jose Alencar G Silva-Com Part Emp,23009122,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wentex,PN,-,BR,cancelado,1467,Outras indústrias de tecidos,Textil,Ação,Bovespa,WET4,-,-,-,-,-,-,-,Real,60000000,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wetzel S/A,ON,84683671000194,BR,ativo,1199,Indústria de autopeças,Veiculos e peças,Ação,Bovespa,MWET3,BRMWETACNOR6,12,196884000,535000,234030000,49371000,-927000,Real,6860000,-0.045043731778,0.025996112731,11.371720116,0,0.0,-,Banco Regional de Desenv Ext Sul,2974436,Clube de Investimentos Sol,2602880,Opera Valor Fundo de Invest. em Acoes,1804400,Norberto Cubas da Silva,764464,Cia Cachoeira Arrend Arm,308548,-,-,-,-,-,-,-,-,-,-,Norberto Cubas da Silva,5272180,Cia Cachoeira Arrend Arm,1007916,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-
Wetzel S/A,PN,84683671000194,BR,ativo,1199,Indústria de autopeças,Veiculos e peças,Ação,Bovespa,MWET4,BRMWETACNPR3,12,196884000,535000,234030000,49371000,-927000,Real,13720000,-0.045043731778,0.025996112731,11.371720116,0,0.0,0.0,Banco Regional de Desenv Ext Sul,2974436,Clube de Investimentos Sol,2602880,Opera Valor Fundo de Invest. em Acoes,1804400,Norberto Cubas da Silva,764464,Cia Cachoeira Arrend Arm,308548,-,-,-,-,-,-,-,-,-,-,Norberto Cubas da Silva,5272180,Cia Cachoeira Arrend Arm,1007916,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-
