nome,sinonimo,fonte
Pão de Açúcar,P.Acucar-Cbd,Economatica
Quattor,Quattor Petroquimica S.A.,Economatica associado
Queiroz Galvão,Queiroz Galvao SA,Economatica associado
Raia Drogasil,Raia Drogasil S.A.,Economatica associado
Raia Drogasil,RaiaDrogasil,Economatica
Randon,Randon Part,Economatica
Randon,Randon Participacoes S/A,Economatica associado
Rede Energia,Rede Energia S.A.,Economatica associado
Renuka,Renuka do Brasil 1,Valor
Rezende Barbosa S.A. Administração e Participações,Rezende Barbosa SA Adm e Part,Economatica associado
Rodobens Engenharia,Rodobensimob,Economatica
Rossi Residencial,Rossi Resid,Economatica
Sada Transportes,Sada,Valor
Samarco Mineração S.A.,SAMARCO MINERACAO S.A.,Receita
Samarco Mineração S.A.,Samarco,Valor
Sanasa Campinas,Sanasa,Valor
Santos Brasil Part.,Santos Brp,Economatica
Serasa Experian,Serasa Experian 1,Valor
Siemens,Siemens 1,Valor
Sudaco Participacoes,Sudaco,Diário Oficial associado
Sul Amer Nac,Sul America Cia Nac de Seg,Economatica associado
Sul America,Sul America S.A.,Economatica associado
Suzano Hold,Suzano Holding S/A,Economatica associado
Suzano Papel e Celulose,Suzano Papel,Economatica
São Carlos Participações,Sao Carlos,Economatica
Tarpon Inv,Tarpon Investimentos S.A.,Economatica associado
Technicolor,Technicolor Brasil,Valor
Telefônica Brasil,Telef Brasil,Economatica
Telefônica S.A.,Telefonica,Economatica
Telemar Norte Leste S/A,Telemar N L,Economatica
Telemar Norte Leste S/A,Telemar,Exame
Teleperformance Crm,Teleperformance,Valor
Tenaris Confab,Confab Industrial S.A.,Economatica associado
Tenaris Confab,Confab,Economatica
Tereos Internacional,Tereos Internacional 1,Valor
Tereos Internacional,Tereos,Economatica
Termomecanica,Termomecânica,Valor
Tim Part S/A,TIM,Valor
Tim Part S/A,Tim Participacoes S.A.,Economatica associado
Totvs,Totvs S.A.,Economatica associado
Tower Automotive do Brasil,Tower Automotive,Valor
Tractebel,Tractebel Energia,Valor
Transmissão Paulista,Tran Paulist,Economatica
Triunfo Participações e Investimentos,TPI,Valor
Triunfo Participações e Investimentos,Triunfo Part,Economatica
Ultrapar,Ultra,Valor
Ultrapar,Ultrapar Paticipacoes S.A.,Economatica associado
Unidas Rent a Car,Unidas,Valor
Unidasul,Unidasul Distribuidora,Valor
Unilever,Unilever 2,Valor
Usiminas,Usiminas Usina Siderurgica MG S/A,Economatica associado
Usina Batatais,Usina Batatais 1,Valor
Usina Costa Pinto S.A. Açúcar e Álcool,Usin C Pinto,Economatica
Usina Ipiranga,Usina Ipiranga 1,Valor
Usina São João,Usina São João 1,Valor
Usina São Manoel,Usina São Manoel 1 3,Valor
Usina da Pedra,Usina da Pedra 1,Valor
Utc,UTC Engenharia,Valor
VBC Energia,VBC Energia SA,Economatica associado
Vicunha Têxtil,Vicunha Text,Economatica
Vigor,S/A Fabrica de Prods Alims Vigor,Economatica associado
Villares Metals,Villares Metals 1,Valor
Voith Hydro,Voith Hydro 1,Valor
Vonpar Refrescos,Vonpar,Valor
Votoran,Votorantim Cimentos,Valor
Vulcabras|azaleia,Vulcabras,Economatica
WLM Indústria e Comércio S.A.,WLM,Valor
WLM Indústria e Comércio S.A.,Wlm Ind Com,Economatica
Walmart,Walmart 2,Valor
Wiest,Wiest Participacoes Ltda,Economatica associado
Wilkes Participacoes,Wilkes,Diário Oficial associado
Zaffari & Bourbon,Zaffari & Bourbon 2,Valor
Zf,ZF do Brasil 2,Valor
