Nome,Classe,CNPJ,Pais Sede,Ativo /|Cancelado,ID da|empresa,Setor NAICS|ult disponiv,Setor|Economática,Tipo de Ativo,Bolsa,Código,ISIN,Meses|do ult balanco|no exercício|consolid:sim*,Ativo Tot|do ult balanco|em moeda orig|consolid:sim*,Patrim Liq|do ult balanco|em moeda orig|consolid:sim*,Receita|do ult balanco|em moeda orig|no exercício|consolid:sim*,Lucro Bruto|do ult balanco|em moeda orig|no exercício|consolid:sim*,Lucro Liq|do ult balanco|em moeda orig|no exercício|consolid:sim*,Moeda dos|Balanços,Qtd Ações|Outstanding|da classe|05Set12,LPA|do ult balanco|em moeda orig|de 12 meses|consolid:sim*|ajust p/ prov,VPA|do ult balanco|em moeda orig|consolid:sim*|ajust p/ prov,Vendas/Acao|do ult balanco|em moeda orig|de 12 meses|consolid:sim*|ajust p/ prov,Divid por Ação|05Set12|1 anos|em moeda orig,Div Yld (fim)|05Set12|no Ano|em moeda orig,Div Yld (inic)|05Set12|1 anos|em moeda orig,PrinAcion|+Recente|1.Maior|Sem Voto,AcPossuid|+Recente|1.Maior|Sem Voto,PrinAcion|+Recente|2.Maior|Sem Voto,AcPossuid|+Recente|2.Maior|Sem Voto,PrinAcion|31/12/2011|3.Maior|Sem Voto,AcPossuid|+Recente|3.Maior|Sem Voto,PrinAcion|+Recente|4.Maior|Sem Voto,AcPossuid|+Recente|4.Maior|Sem Voto,PrinAcion|+Recente|5.Maior|Sem Voto,AcPossuid|+Recente|5.Maior|Sem Voto,PrinAcion|+Recente|6.Maior|Sem Voto,AcPossuid|+Recente|6.Maior|Sem Voto,PrinAcion|+Recente|7.Maior|Sem Voto,AcPossuid|+Recente|7.Maior|Sem Voto,PrinAcion|+Recente|8.Maior|Sem Voto,AcPossuid|+Recente|8.Maior|Sem Voto,PrinAcion|+Recente|9.Maior|Sem Voto,AcPossuid|+Recente|9.Maior|Sem Voto,PrinAcion|+Recente|10.Maior|Sem Voto,AcPossuid|+Recente|10.Maior|Sem Voto,PrinAcion|+Recente|1.Maior|Com Voto,AcPossuid|+Recente|1.Maior|Com Voto,PrinAcion|+Recente|2.Maior|Com Voto,AcPossuid|+Recente|2.Maior|Com Voto,PrinAcion|+Recente|3.Maior|Com Voto,AcPossuid|+Recente|3.Maior|Com Voto,PrinAcion|+Recente|4.Maior|Com Voto,AcPossuid|+Recente|4.Maior|Com Voto,PrinAcion|+Recente|5.Maior|Com Voto,AcPossuid|+Recente|5.Maior|Com Voto,PrinAcion|+Recente|6.Maior|Com Voto,AcPossuid|+Recente|6.Maior|Com Voto,PrinAcion|+Recente|7.Maior|Com Voto,AcPossuid|+Recente|7.Maior|Com Voto,PrinAcion|+Recente|8.Maior|Com Voto,AcPossuid|+Recente|8.Maior|Com Voto,PrinAcion|+Recente|9.Maior|Com Voto,AcPossuid|+Recente|9.Maior|Com Voto,PrinAcion|+Recente|10.Maior|Com Voto,AcPossuid|+Recente|10.Maior|Com Voto
Afluente,ON,7620094000140,BR,ativo,2015,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,AFLU3,BRAFLUACNOR9,6,49358000,42882000,11992000,7603000,5901000,Real,10930000,0.52548227667,2.2788967423,1.2167189244,0.3687701853,5.8,8.7,Neoenergia S/A,6717880,Iberdrola Energia S.A.,1039420,Previ Cx Prev Funcs Bco Brasil,99440,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Neoenergia S/A,9812209,Iberdrola Energia S.A.,559791,Previ Cx Prev Funcs Bco Brasil,331780,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Afluente,PNA,7620094000140,BR,ativo,2015,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,AFLU5,BRAFLUACNPA2,6,49358000,42882000,11992000,7603000,5901000,Real,1955685,0.52548227667,2.2788967423,1.2167189244,0.3687701853,-,-,Neoenergia S/A,6717880,Iberdrola Energia S.A.,1039420,Previ Cx Prev Funcs Bco Brasil,99440,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Neoenergia S/A,9812209,Iberdrola Energia S.A.,559791,Previ Cx Prev Funcs Bco Brasil,331780,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Afluente,PNB,7620094000140,BR,ativo,2015,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,AFLU6,BRAFLUACNPB0,6,49358000,42882000,11992000,7603000,5901000,Real,5931315,0.52548227667,2.2788967423,1.2167189244,0.4056472038,-,-,Neoenergia S/A,6717880,Iberdrola Energia S.A.,1039420,Previ Cx Prev Funcs Bco Brasil,99440,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Neoenergia S/A,9812209,Iberdrola Energia S.A.,559791,Previ Cx Prev Funcs Bco Brasil,331780,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Afluente T,ON,10338320000100,BR,ativo,2217,"Empresa de eletricidade, gas e agua",Energia Elétrica,Ação,Bovespa,AFLT3,BRAFLTACNOR1,6,82276000,75759000,13488000,9787000,9580000,Real,63085000,0.32686058493,1.2009035428,0.47637314734,0.318681819,5.3,9.1,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Neoenergia S/A,55415654,Iberdrola Energia S.A.,5361131,Previ Cx Prev Funcs Bco Brasil,1445606,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AGconcessoes,ON,3601314000138,BR,ativo,1943,Atividades auxiliares ao transporte rodoviário,Transporte Serviç,Ação,Bovespa,ANDG3B,BRANDGACNOR9,6,6291192000,2270657000,592445000,326897000,209933000,Real,55525379,4.2979267714,20.447020476,10.837693381,0.7718478652,-,-,Andrade Gutierrez Participacoes S/A,41240257,AG Invest FIP,8916942,AG Invest FIP,5360366,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Andrade Gutierrez Participacoes S/A,42464341,AG Invest FIP,7692644,IFC International Finance Corporation,5360366,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AGconcessoes,PN,3601314000138,BR,ativo,1943,Atividades auxiliares ao transporte rodoviário,Transporte Serviç,Ação,Bovespa,ANDG4B,BRANDGACNPR6,6,6291192000,2270657000,592445000,326897000,209933000,Real,55525373,4.2979267714,20.447020476,10.837693381,0.8490326522,-,-,Andrade Gutierrez Participacoes S/A,41240257,AG Invest FIP,8916942,AG Invest FIP,5360366,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Andrade Gutierrez Participacoes S/A,42464341,AG Invest FIP,7692644,IFC International Finance Corporation,5360366,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AGF Brasil,ON,61573796000166,BR,cancelado,1234,Seguradora,Finanças e Seguros,Ação,Bovespa,BSGR3,-,3,1210206000,423137000,-,-,13042000,Real,518000000,0.073963320965,0.81686679537,-,0,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AGF do Brasil Ltda,357299000,Tres-B Empreendimentos e Part. Ltda,141580000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Agra Incorp,ON,7698047000110,BR,cancelado,2066,Construção de edifícios residenciais,Construção,Ação,Bovespa,AGIN3,-,3,2241937000,1028215000,205042000,74370000,28106000,Real,239297000,0.62546189139,4.2968152547,2.9132823159,0,-,-,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,Caripo Participacoes Ltda.,27685000,BRF Investimentos e Participacoes Ltda.,27685000,JP Morgan (Fundo),19618000,Luiz Roberto Horst Silveira Pinto,16337000,Grantia Participacoes Ltda,14154000,Ricardo Setton,9335000,Didier Maurice Klotz,2912000,Fernando Bruno de Albuquerque,896000,Asterio Vaz Safatle,556000,Acoes em Tesouraria,1000
Agrale,PN,88610324000192,BR,cancelado,18,"Industria de máquinas agrícolas, de construção e mineração",Máquinas Indust,Ação,Bovespa,AGRA4,-,6,77148000,44140000,58482000,11347000,3393000,Real,262916000,0.000088692979553,0.0010518291556,0.0021303233958,0,-,-,Participale Adm. e Participacoes Lt,217208000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participale Adm. e Participacoes Lt,41682694000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Agre Emp Imo,ON,11040082000114,BR,cancelado,2191,Construção de edifícios residenciais,Construção,Ação,Bovespa,AGEI3,-,3,4980787000,1878210000,508533000,163618000,43755000,Real,300000000,-,6.2607,-,0,-,-,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,-,Veremonte Participacoes S/A,24437349,BRF Investimentos e Participacoes Ltda.,5603162,Luiz Roberto Horst Silveira Pinto,3362818,Ricardo Setton,1921607,Fernando Bruno de Albuquerque,184376,Asterio Vaz Safatle,114533,Acoes em Tesouraria,1259,Bento de Camargo Barros Neto,52,Mailson Ferreira da Nobrega,1,-,-
